Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent
p_a,17.5941531519488,0,0.288960668412305,0.537550619395332,3.05527986912966
p_b1,2075.03084770693,0,127.204370639199,11.2784915054807,0.54353367893033
p_c1,250,0,5.7489021942696,2.39768684241074,0.959074736964297
p_g1,269.076646384023,0,1.39796363938095,1.18235512405578,0.439412018822448
p_u,14101.7454102964,0,5029.83077831911,70.9212998916342,0.50292568634696
p_0,-28.4547507928406,0,0.0413901719107125,0.203445746848423,0.714979893268336
p_b2,0.067028846,1,NaN,NaN,NaN
p_g2,112.02675,1,NaN,NaN,NaN
p_c2,0.24908901,1,NaN,NaN,NaN
p_sdelta2,0.18360238,1,NaN,NaN,NaN
v_s2,3.5,1,NaN,NaN,NaN
eps_v1,0.05,1,NaN,NaN,NaN
eps_v2,0.03,1,NaN,NaN,NaN
