Stage,DataSet,Output,MeanFitPercent,MeanVAF_Percent,MeanNRMSE,MeanNRMSE_FitPercent,MeanRMSE_deg,MeanBias_deg,MeanRMSE_NoBias_deg,MeanAmplitudeRatio,MeanAbsPhaseLag_s,MeanAbsResidualInputCorrelation
Stage 1,training,theta_1,30.7043781533359,85.3292437266792,0.692956218466641,30.7043781533359,27.4867174737153,-11.5788199474871,12.4064035702611,1.00037901913457,0.00416666666666667,0.124996181808945
Stage 1,training,theta_2,10.6156314376073,67.1856167914193,0.893843685623927,10.6156314376073,43.2246977403386,12.2278333204683,33.4848735693438,1.06643911234723,0.0883333333333333,0.129980020838522
Stage 1,validation,theta_1,38.4397554339179,94.9137085597988,0.615602445660821,38.4397554339179,22.6788264425689,-14.1059095225056,10.3161276496193,1.01900589428192,0,0.104992839013131
Stage 1,validation,theta_2,34.1431562912601,84.961757172535,0.658568437087399,34.1431562912601,30.6756390453734,13.9359907700185,22.8979506463138,1.02624744456245,0.04625,0.140452578078697
Stage 2,training,theta_1,58.3787397406446,95.8598354582807,0.416212602593554,58.3787397406446,16.1854604024885,-12.1045943801158,8.24049943337978,1.12566032144561,0.00583333333333333,0.198250115302284
Stage 2,training,theta_2,36.4427180365691,81.3279573918168,0.635572819634309,36.4427180365691,29.4548894420146,11.7414468887439,25.1722135437296,1.04919188310953,0.0375,0.148231873507112
Stage 2,validation,theta_1,58.5391741367935,97.9740465863212,0.414608258632065,58.5391741367935,14.17164544002,-5.93353202506032,6.84873448241999,1.11767945445254,0.005,0.225770505946926
Stage 2,validation,theta_2,49.1689257458341,91.0000016895686,0.508310742541659,49.1689257458341,21.8767246471297,5.74082565306392,17.5590123638599,1.09323062552715,0.03,0.166588492066906
Stage 3,training,theta_1,59.1310750029982,96.4902015753473,0.408689249970018,59.1310750029982,15.6740473748557,-10.8258377785562,7.7083920973798,1.09634620379329,0.00666666666666667,0.193226212964419
Stage 3,training,theta_2,38.8577593263916,82.1643325212652,0.611422406736084,38.8577593263916,28.0502520138999,10.5198817666793,23.585317405146,1.0070507509279,0.04,0.142626290869987
Stage 3,validation,theta_1,58.8834130060892,98.0887437887092,0.411165869939108,58.8834130060892,13.9348582273063,-6.08630484592557,6.54733004744841,1.10085066693378,0.005,0.220591020469855
Stage 3,validation,theta_2,48.799463455982,90.8935937235823,0.51200536544018,48.799463455982,22.8431874236712,5.87679302110604,18.5963917940914,1.07156163147909,0.03625,0.157176112779888
Stage 4,training,theta_1,84.634137338493,99.4272575736327,0.15365862661507,84.634137338493,6.11062331662593,-2.93185937552454,3.69250603824827,1.04253940320817,0.005,0.243125749097976
Stage 4,training,theta_2,66.5164674904953,91.032162107793,0.334835325095047,66.5164674904953,16.4308513260884,2.6030180493085,15.3668216764042,0.968782692194948,0.0191666666666667,0.119615045153547
Stage 4,validation,theta_1,76.4349530966623,99.564020203793,0.235650469033377,76.4349530966623,7.32004760953158,4.56210016516833,4.83015293797072,1.05913936587563,0.005,0.225017373134728
Stage 4,validation,theta_2,54.2203962818249,90.6116002546759,0.457796037181751,54.2203962818249,21.1150390903566,-4.76190755873519,19.8394627163936,1.00055621503984,0.04625,0.11565735808551
