Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent
p_a,44.2586344393318,0,1.65324667352805,1.28578640276216,2.90516510292397
p_b1,2032.30382629163,0,194.513032826546,13.9467929226237,0.686255309968714
p_c1,243.62716418887,0,18.1052710581771,4.25502891390612,1.74653303874089
p_g1,219.067376328412,0,1.75055039097294,1.32308366741221,0.603961981736945
p_u,13827.1480946612,0,8036.62840425402,89.6472442646957,0.648342258656431
p_b2,0.0670909232612606,1,NaN,NaN,NaN
p_g2,112.024824828006,1,NaN,NaN,NaN
p_c2,0.248612341004958,1,NaN,NaN,NaN
p_sdelta2,0.184081449833264,1,NaN,NaN,NaN
v_s2,3.5,1,NaN,NaN,NaN
eps_v1,0.05,1,NaN,NaN,NaN
eps_v2,0.03,1,NaN,NaN,NaN
theta_scale,1.02998718312657,0,3.34436904608134e-07,0.00057830520022574,0.0561468346111135
theta1_offset,-0.0611201345902454,0,1.94270503940414e-06,0.00139380954201216,2.28044252741977
theta_abs_down_raw,3.14458354361354,1,NaN,NaN,NaN
