Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent
p_a,64.7914584362912,0,0.342134460640423,0.584922610813108,0.902777348943699
p_b1,3211.68293135774,0,9.33421153714025,3.05519418975951,0.095127515855618
p_c1,635.386499191394,0,4.34007605017763,2.08328491814673,0.327876799522489
p_g1,430.522582110451,0,0.274147908534644,0.523591356436147,0.121617628945145
p_u,22423.5020834377,0,206.92216940537,14.3847895155046,0.0641505036188319
p_0,-50.12050575377,0,0.029876936842599,0.172849462951433,0.344867754927696
p_b2,0.067028846,1,NaN,NaN,NaN
p_g2,112.02675,1,NaN,NaN,NaN
p_c2,0.24908901,1,NaN,NaN,NaN
p_sdelta2,0.18360238,1,NaN,NaN,NaN
v_s2,3.5,1,NaN,NaN,NaN
eps_v1,0.05,1,NaN,NaN,NaN
eps_v2,0.03,1,NaN,NaN,NaN
