Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent
p_a,80,0,1.54059747370306,1.24120807026987,1.55151008783734
p_b1,3023.76368064539,0,795.346993062849,28.2018969763179,0.932675299886482
p_c1,250,0,32.8338636419952,5.73008408681716,2.29203363472686
p_g1,287.437308839574,0,8.26317768205642,2.87457434797857,1.00007001860115
p_u,19566.098958441,0,33489.8979901455,183.00245350854,0.935303730688697
p_0,0,1,NaN,NaN,NaN
p_b2,0.067028846,1,NaN,NaN,NaN
p_g2,112.02675,1,NaN,NaN,NaN
p_c2,0.24908901,1,NaN,NaN,NaN
p_sdelta2,0.18360238,1,NaN,NaN,NaN
v_s2,3.5,1,NaN,NaN,NaN
eps_v1,0.05,1,NaN,NaN,NaN
eps_v2,0.03,1,NaN,NaN,NaN
