Model,Parameter,Value,Fixed,Variance,StdDev,RelativeStdPercent,CI95Lower,CI95Upper
Viscous,p_b2,0.0965508008298567,0,3.04524600194376e-06,0.00174506332319024,1.80740429721077,0.0931304767164038,0.0999711249433096
Viscous,p_g2,112.170197365935,0,0.0374498628536313,0.193519670456601,0.172523250382878,111.79089881184,112.54949592003
Coulomb-viscous,p_b2,0.0670288456197832,0,1.03768423027662e-05,0.003221310649839,4.80585726943841,0.0607150767460988,0.0733426144934676
Coulomb-viscous,p_g2,112.026748461693,0,0.0579519872451199,0.240732189881453,0.214888134474215,111.554913369525,112.49858355386
Coulomb-viscous,p_c2,0.249089012744149,0,0.000840502670772607,0.0289914240901099,11.6389814912826,0.192265821527533,0.305912203960764
Coulomb-viscous,eps_v,0.03,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,p_b2,0.0670288456197832,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,p_g2,112.026748461693,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,p_c2,0.249089012744149,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,p_sdelta,0.183602384930146,0,0.0103959274353748,0.101960420925842,55.533276958594,-0.0162400400845039,0.383444809944796
Best Stribeck fixed-vs grid,v_s,3.5,1,NaN,NaN,NaN,NaN,NaN
Best Stribeck fixed-vs grid,eps_v,0.03,1,NaN,NaN,NaN,NaN,NaN
